"condition","second","cpuPct","privateMB","processCount"
"off","1","2,24344718430438","267,296875","8"
"off","2","2,22501456810642","267,85546875","8"
"off","3","1,50352168713614","268,23046875","8"
"off","4","2,29417579755975","268,16015625","8"
"off","5","1,2014341240406","272,28125","8"
"off","6","1,81923360491002","268,2265625","8"
"off","7","2,11621256745395","268,8359375","8"
"off","8","1,48285916205019","268,71875","8"
"off","9","2,68486838958032","267,18359375","8"
"off","10","2,1426707318639","267,25390625","8"
"off","11","2,19429582193236","267,984375","8"
"off","12","2,25785058822657","268,36328125","8"
"off","13","2,75550020767213","268,32421875","8"
"off","14","2,29865445785104","267,53515625","8"
"off","15","1,67042579712286","268,19140625","8"
"off","16","1,31801027284373","270,3125","8"
"off","17","2,26147542312316","270,3125","8"
"off","18","2,01221631935307","272,91796875","8"
"off","19","1,16947438553251","268,578125","8"
"off","20","1,47732061677642","269,6171875","8"
"off","21","1,88615487079829","269,921875","8"
"off","22","1,98854852619397","270,15625","8"
"off","23","2,03299691358791","269,90234375","8"
"off","24","2,2303054495839","271,359375","8"
"off","25","2,25078190362707","271,61328125","8"
"off","26","1,99728120004462","271,63671875","8"
"off","27","1,70993725696755","273,21484375","8"
"off","28","1,89251119717422","272,6171875","8"
"off","29","1,83039460144685","272,93359375","8"
"off","30","1,70994703800964","271,96484375","8"
"off","31","1,60774746468576","271,8984375","8"
"off","32","3,09534029826977","272,28515625","8"
"off","33","2,14574315163144","274,73046875","8"
"off","34","2,13537669621114","275,66015625","8"
"off","35","2,09799333472444","274,0234375","8"
"off","36","2,1666178443492","273,765625","8"
"off","37","2,07545892357962","274,4921875","8"
"off","38","2,27825969362926","273,5","8"
"off","39","1,92716926760967","274,046875","8"
"off","40","1,86852369686666","273,73828125","8"
"off","41","2,229274977247","274,05078125","8"
"off","42","1,58898711372976","273,83203125","8"
"off","43","2,35244444647863","273,40234375","8"
"off","44","2,15550353311417","273,23046875","8"
"off","45","1,47433782602743","274,01171875","8"
"off","46","2,04168696375734","274,390625","8"
"off","47","1,29123741726439","275,9453125","8"
"off","48","1,25920555703376","276,8046875","8"
"off","49","1,99905468820367","274,6640625","8"
"off","50","2,84881510579177","274,52734375","8"
"off","51","2,22546129877494","275,71875","8"
"off","52","1,8366423504388","275,359375","8"
"off","53","1,70891254241484","275,3359375","8"
"off","54","1,69934860495122","274,7890625","8"
"off","55","2,20379716821081","275,3828125","8"
"off","56","1,69460954145379","275,640625","8"
"off","57","2,08220806843205","276,140625","8"
"off","58","1,49955626221675","279,1953125","8"
"off","59","0,699314207508228","280,2421875","8"
"off","60","1,81034907143286","274,6640625","8"
"on","1","2,25537944269807","270,3203125","9"
"on","2","2,39526646390576","271,12109375","9"
"on","3","2,2479361729902","271,74609375","9"
"on","4","1,70727021004488","276,85546875","9"
"on","5","2,33261661300397","273,69921875","9"
"on","6","2,24789045371637","272,18359375","9"
"on","7","1,54241808669162","272,10546875","9"
"on","8","1,68609717695879","272,125","9"
"on","9","2,1322381859091","272,66015625","9"
"on","10","2,1048801547224","273,4765625","9"
"on","11","2,05342556017303","273,2109375","9"
"on","12","1,44437145702675","273,609375","9"
"on","13","3,14996641871508","272,81640625","9"
"on","14","2,07106314840047","272,765625","9"
"on","15","2,68620299926974","274,2109375","9"
"on","16","2,07999142306786","273,29296875","9"
"on","17","1,54781613030986","274,83203125","9"
"on","18","1,82792363710201","274,65625","9"
"on","19","2,11812630908971","278,02734375","9"
"on","20","1,70834954519088","274,69921875","9"
"on","21","2,93651621390194","275,45703125","9"
"on","22","2,95478474177923","275,46484375","9"
"on","23","1,61838298008679","276,828125","9"
"on","24","1,84441429900925","276,71875","9"
"on","25","2,32183853116081","277,3203125","9"
"on","26","1,87310307105788","276,84375","9"
"on","27","1,47151676875329","277,140625","9"
"on","28","1,96520937478546","276,58984375","9"
"on","29","2,35432709547676","276,109375","9"
"on","30","2,50961300009694","278,5078125","9"
"on","31","2,28665424434126","276,2578125","9"
"on","32","2,0512263433251","277,2734375","9"
"on","33","2,04171435776356","278,0546875","9"
"on","34","1,49942272666958","276,72265625","9"
"on","35","2,21191744515375","277,51953125","9"
"on","36","1,75982587853054","279,52734375","9"
"on","37","1,58982515158945","278,5703125","9"
"on","38","2,29387489512847","278,61328125","9"
"on","39","2,24654161743817","278,3203125","9"
"on","40","2,2474485352265","277,70703125","9"
"on","41","1,90856385120213","278,48046875","9"
"on","42","1,58604537223258","278,4375","9"
"on","43","2,26335449604721","277,91015625","9"
"on","44","2,26885065318096","279,59765625","9"
"on","45","1,7869172305393","278,41015625","9"
"on","46","1,66802755070066","279,328125","9"
"on","47","3,19233236274802","280,203125","9"
"on","48","1,78685005644333","279,47265625","9"
"on","49","2,32091475977322","281,48046875","9"
"on","50","1,57093921111726","280,0234375","9"
"on","51","2,15452830535076","281,12890625","9"
"on","52","2,19097787063273","279,55859375","9"
"on","53","1,81158790172324","279,53515625","9"
"on","54","2,77029342660463","280,09765625","9"
"on","55","1,50543289293697","279,19921875","9"
"on","56","2,37915738148157","280,046875","9"
"on","57","2,5025711749928","280,73046875","9"
"on","58","2,78367959314139","282,140625","9"
"on","59","1,80037512512405","285,2734375","9"
"on","60","1,71009303781693","281,30078125","9"
